date	incidence	trust_short	tests	positive_tests	rolling_mean_key	rolling_7day_incidence
2021-04-08	0	RFH	45	0	7day_incidence	0.00255102040816327
2021-04-07	0	UCLH	740	0	7day_incidence	0.000444081347871435
2021-04-07	0	RMH	193	0	7day_incidence	0.00512730806608358
2021-04-07	0	LNWUH	14	0	7day_incidence	0
2021-04-07	0	CNWL	156	0	7day_incidence	0
2021-04-07	0.0178571428571429	RFH	56	1	7day_incidence	0.01515606242497
2021-04-07	0	CARE HOME	76	0	7day_incidence	0
2021-04-06	0	UCLH	99	0	7day_incidence	0.00013883104262113
2021-04-06	0.0238095238095238	RMH	42	1	7day_incidence	0.00446383730865309
2021-04-06	0	CNWL	81	0	7day_incidence	0
2021-04-06	0	RFH	11	0	7day_incidence	0.01515606242497
2021-04-03	0	UCLH	87	0	7day_incidence	0.00013883104262113
2021-04-03	0	CNWL	31	0	7day_incidence	0
2021-04-03	0	RFH	19	0	7day_incidence	0.01515606242497
2021-04-02	0	UCLH	764	0	7day_incidence	4.64658073922359e-20
2021-04-02	0	RMH	43	0	7day_incidence	0.00446383730865309
2021-04-02	0	LNWUH	34	0	7day_incidence	0
2021-04-02	0	CNWL	338	0	7day_incidence	0
2021-04-02	0.0882352941176471	RFH	34	3	7day_incidence	0.01515606242497
2021-04-01	0	UCLH	683	0	7day_incidence	4.64658073922359e-20
2021-04-01	0	RMH	300	0	7day_incidence	0.00388074692964434
2021-04-01	0	LNWUH	3	0	7day_incidence	0
2021-04-01	0	CNWL	206	0	7day_incidence	0
2021-04-01	0	RFH	59	0	7day_incidence	0.0126050420168067
2021-04-01	0	CARE HOME	56	0	7day_incidence	0
2021-03-31	0	UCLH	743	0	7day_incidence	4.64658073922359e-20
2021-03-31	0.00335570469798658	RMH	298	1	7day_incidence	0.00388074692964434
2021-03-31	0	LNWUH	7	0	7day_incidence	0
2021-03-31	0	CNWL	397	0	7day_incidence	0
2021-03-31	0	RFH	59	0	7day_incidence	0.0126050420168067
2021-03-30	0	UCLH	935	0	7day_incidence	4.64658073922359e-20
2021-03-30	0	RMH	369	0	7day_incidence	0.000479386385426654
2021-03-30	0	LNWUH	18	0	7day_incidence	0
2021-03-30	0	CNWL	122	0	7day_incidence	0
2021-03-30	0	RFH	23	0	7day_incidence	0.0126050420168067
2021-03-30	0	CARE HOME	70	0	7day_incidence	0
2021-03-29	0	UCLH	109	0	7day_incidence	4.64658073922359e-20
2021-03-29	0	RMH	48	0	7day_incidence	0.000479386385426654
2021-03-29	0	LNWUH	2	0	7day_incidence	0
2021-03-29	0	CNWL	105	0	7day_incidence	0
2021-03-29	0	RFH	18	0	7day_incidence	0
2021-03-27	0	UCLH	650	0	7day_incidence	4.64658073922359e-20
2021-03-27	0	RMH	232	0	7day_incidence	0.000762833097444795
2021-03-27	0	LNWUH	4	0	7day_incidence	0.00985221674876847
2021-03-27	0	CNWL	177	0	7day_incidence	0
2021-03-27	0	RFH	41	0	7day_incidence	0
2021-03-26	0	UCLH	546	0	7day_incidence	4.64658073922359e-20
2021-03-26	0	RMH	330	0	7day_incidence	0.000861815711439772
2021-03-26	0	LNWUH	22	0	7day_incidence	0.00985221674876847
2021-03-26	0	CNWL	335	0	7day_incidence	0.000686813186813187
2021-03-26	0	RFH	32	0	7day_incidence	0
2021-03-25	0	UCLH	809	0	7day_incidence	4.64658073922359e-20
2021-03-25	0	RMH	314	0	7day_incidence	0.000861815711439772
2021-03-25	0	LNWUH	19	0	7day_incidence	0.00985221674876847
2021-03-25	0	CNWL	205	0	7day_incidence	0.000686813186813187
2021-03-25	0	RFH	42	0	7day_incidence	0
2021-03-25	0	CARE HOME	45	0	7day_incidence	0
2021-03-24	0	UCLH	694	0	7day_incidence	4.64658073922359e-20
2021-03-24	0.00198412698412698	RMH	504	1	7day_incidence	0.00135784745747152
2021-03-24	0.0689655172413793	LNWUH	29	2	7day_incidence	0.00985221674876847
2021-03-24	0	CNWL	446	0	7day_incidence	0.000686813186813187
2021-03-24	0	RFH	28	0	7day_incidence	0
2021-03-23	0	UCLH	853	0	7day_incidence	4.64658073922359e-20
2021-03-23	0.00404858299595142	RMH	247	1	7day_incidence	0.00180288528568692
2021-03-23	0	LNWUH	5	0	7day_incidence	0.00985221674876847
2021-03-23	0.00480769230769231	CNWL	208	1	7day_incidence	0.00130524237667095
2021-03-23	0	RFH	20	0	7day_incidence	0
2021-03-23	0	CARE HOME	67	0	7day_incidence	0
2021-03-22	0	UCLH	258	0	7day_incidence	0.000218770509735288
2021-03-22	0	RMH	59	0	7day_incidence	0.00214383312066816
2021-03-22	0	LNWUH	1	0	7day_incidence	0.00985221674876847
2021-03-22	0	CNWL	58	0	7day_incidence	0.00130524237667095
2021-03-22	0	RFH	5	0	7day_incidence	0
2021-03-21	0	UCLH	2	0	7day_incidence	0.000218770509735288
2021-03-21	0	CNWL	2	0	7day_incidence	0.00130524237667095
2021-03-20	0	UCLH	382	0	7day_incidence	0.000218770509735288
2021-03-20	0.00347222222222222	RMH	288	1	7day_incidence	0.00329901217342134
2021-03-20	0	LNWUH	3	0	7day_incidence	0.00985221674876847
2021-03-20	0.00432900432900433	CNWL	231	1	7day_incidence	0.00130524237667095
2021-03-20	0	RFH	50	0	7day_incidence	0
2021-03-19	0.00153139356814701	UCLH	653	1	7day_incidence	0.000218770509735288
2021-03-19	0.00311526479750779	RMH	321	1	7day_incidence	0.0030155654614032
2021-03-19	0	LNWUH	37	0	7day_incidence	0
2021-03-19	0	CNWL	366	0	7day_incidence	0.00180396564510376
2021-03-19	0	RFH	48	0	7day_incidence	0
2021-03-18	0	UCLH	873	0	7day_incidence	0.000218770509735288
2021-03-18	0.00238663484486874	RMH	419	1	7day_incidence	0.00243719646198157
2021-03-18	0	LNWUH	5	0	7day_incidence	0
2021-03-18	0	CNWL	255	0	7day_incidence	0.00180396564510376
2021-03-18	0	RFH	41	0	7day_incidence	0
2021-03-18	0	CARE HOME	55	0	7day_incidence	0
2021-03-17	0	UCLH	826	0	7day_incidence	0.000218770509735288
2021-03-17	0.00808625336927224	RMH	371	3	7day_incidence	0.00422291074769585
2021-03-17	0	LNWUH	26	0	7day_incidence	0
2021-03-17	0	CNWL	416	0	7day_incidence	0.00180396564510376
2021-03-17	0	RFH	40	0	7day_incidence	0
2021-03-16	0	UCLH	1054	0	7day_incidence	0.000218770509735288
2021-03-16	0	RMH	335	0	7day_incidence	0.00515545043023554
2021-03-16	0	LNWUH	2	0	7day_incidence	0
2021-03-16	0.00829875518672199	CNWL	241	2	7day_incidence	0.001185536455246
2021-03-16	0	RFH	26	0	7day_incidence	0
2021-03-16	0	CARE HOME	167	0	7day_incidence	0
2021-03-15	0	UCLH	43	0	7day_incidence	0.000504795557799091
2021-03-15	0	RMH	58	0	7day_incidence	0.00471041260202014
2021-03-15	0	LNWUH	13	0	7day_incidence	0
2021-03-15	0	CNWL	35	0	7day_incidence	0.0015169915430816
2021-03-15	0	RFH	3	0	7day_incidence	0
2021-03-14	0	UCLH	152	0	7day_incidence	0.00078326952048358
2021-03-14	0.0125	RMH	80	1	7day_incidence	0.00602099243012725
2021-03-14	0	CNWL	17	0	7day_incidence	0.0015169915430816
2021-03-14	0	RFH	10	0	7day_incidence	0
2021-03-13	0	UCLH	592	0	7day_incidence	0.00117305708626023
2021-03-13	0.01	RMH	400	4	7day_incidence	0.00517502797230295
2021-03-13	0	LNWUH	20	0	7day_incidence	0.00432900432900433
2021-03-13	0	CNWL	222	0	7day_incidence	0.0015169915430816
2021-03-13	0	RFH	51	0	7day_incidence	0
2021-03-12	0.00353356890459364	UCLH	566	2	7day_incidence	0.00176014123498822
2021-03-12	0	RMH	378	0	7day_incidence	0.00560532057127025
2021-03-12	0	LNWUH	23	0	7day_incidence	0.00432900432900433
2021-03-12	0.00232018561484919	CNWL	431	1	7day_incidence	0.000331455087835598
2021-03-12	0	RFH	73	0	7day_incidence	0
2021-03-11	0.00194931773879142	UCLH	1026	2	7day_incidence	0.00285483198485138
2021-03-11	0.0115606936416185	RMH	346	4	7day_incidence	0.00560532057127025
2021-03-11	0	LNWUH	18	0	7day_incidence	0.00432900432900433
2021-03-11	0	CNWL	309	0	7day_incidence	0.00552626028264079
2021-03-11	0	RFH	38	0	7day_incidence	0
2021-03-11	0	CARE HOME	46	0	7day_incidence	0
2021-03-10	0.00272851296043656	UCLH	733	2	7day_incidence	0.00285483198485138
2021-03-10	0.00216450216450216	RMH	462	1	7day_incidence	0.00381960628555596
2021-03-10	0.0303030303030303	LNWUH	33	1	7day_incidence	0.04004329004329
2021-03-10	0	CNWL	431	0	7day_incidence	0.00552626028264079
2021-03-10	0	RFH	52	0	7day_incidence	0
2021-03-09	0.00410958904109589	UCLH	730	3	7day_incidence	0.00304304956437331
2021-03-09	0.00301204819277108	RMH	332	1	7day_incidence	0.0027834995351635
2021-03-09	0	LNWUH	9	0	7day_incidence	0.04004329004329
2021-03-09	0	CNWL	154	0	7day_incidence	0.00552626028264079
2021-03-09	0	RFH	54	0	7day_incidence	0.00361663652802893
2021-03-09	0	CARE HOME	73	0	7day_incidence	0
2021-03-08	0.00766283524904215	UCLH	261	2	7day_incidence	0.00253825400657422
2021-03-08	0	RMH	51	0	7day_incidence	0.0027834995351635
2021-03-08	0.0363636363636364	CNWL	55	2	7day_incidence	0.00519480519480519
2021-03-08	0	RFH	5	0	7day_incidence	0.00361663652802893
2021-03-07	0	UCLH	102	0	7day_incidence	0.00240108285581568
2021-03-07	0	RMH	107	0	7day_incidence	0.00177115371931068
2021-03-07	0	LNWUH	3	0	7day_incidence	0.04004329004329
2021-03-07	0	CNWL	2	0	7day_incidence	0.00519480519480519
2021-03-07	0	RFH	7	0	7day_incidence	0.0072796401910326
2021-03-06	0.00131752305665349	UCLH	759	1	7day_incidence	0.00219189850477625
2021-03-06	0.00274725274725275	RMH	364	1	7day_incidence	0.00198618552018783
2021-03-06	0.25	LNWUH	8	2	7day_incidence	0.04004329004329
2021-03-06	0	CNWL	233	0	7day_incidence	0.00553903927397903
2021-03-06	0.0253164556962025	RFH	79	2	7day_incidence	0.0109426438540363
2021-03-05	0	UCLH	680	0	7day_incidence	0.00255298123341869
2021-03-05	0	RMH	349	0	7day_incidence	0.00255489392022153
2021-03-05	0	LNWUH	36	0	7day_incidence	0.0419254658385093
2021-03-05	0	CNWL	493	0	7day_incidence	0.00616560569001913
2021-03-05	0	RFH	58	0	7day_incidence	0.0160446846703628
2021-03-04	0.000989119683481701	UCLH	1011	1	7day_incidence	0.00264876667403171
2021-03-04	0.00447427293064877	RMH	447	2	7day_incidence	0.00255489392022153
2021-03-04	0	LNWUH	13	0	7day_incidence	0.0419254658385093
2021-03-04	0	CNWL	403	0	7day_incidence	0.000970800495213938
2021-03-04	0.0256410256410256	RFH	39	1	7day_incidence	0.0228474057587982
2021-03-04	0	CARE HOME	44	0	7day_incidence	0
2021-03-03	0.00126422250316056	UCLH	791	1	7day_incidence	0.00264876667403171
2021-03-03	0.0036697247706422	RMH	545	2	7day_incidence	0.00255489392022153
2021-03-03	0	LNWUH	36	0	7day_incidence	0.0419254658385093
2021-03-03	0.00240963855421687	CNWL	415	1	7day_incidence	0.00172268019446206
2021-03-03	0.0256410256410256	RFH	39	1	7day_incidence	0.0299902629016553
2021-03-03	0	CARE HOME	68	0	7day_incidence	0
2021-03-02	0.00663716814159292	UCLH	904	6	7day_incidence	0.00246054909450979
2021-03-02	0.00699300699300699	RMH	286	2	7day_incidence	0.00378950376205558
2021-03-02	0.0434782608695652	LNWUH	23	1	7day_incidence	0.0062111801242236
2021-03-02	0.0043859649122807	CNWL	228	1	7day_incidence	0.00233187909790403
2021-03-02	0.0357142857142857	RFH	28	1	7day_incidence	0.0263736263736264
2021-03-01	0.00833333333333333	UCLH	120	1	7day_incidence	0.00246054909450979
2021-03-01	0	RMH	63	0	7day_incidence	0.00492029908810157
2021-03-01	0	CNWL	1	0	7day_incidence	0.00358501192998423
2021-03-01	0.0476190476190476	RFH	21	1	7day_incidence	0.0263736263736264
2021-02-28	0	UCLH	117	0	7day_incidence	0.00325703934291518
2021-02-28	0	RMH	81	0	7day_incidence	0.00428111724086603
2021-02-28	0	LNWUH	5	0	7day_incidence	0.0062111801242236
2021-02-28	0.05	RFH	20	1	7day_incidence	0.0227106227106227
2021-02-27	0	UCLH	732	0	7day_incidence	0.00349971655145838
2021-02-27	0.0113895216400911	RMH	439	5	7day_incidence	0.00469878607268951
2021-02-27	0	LNWUH	13	0	7day_incidence	0.0266193433895297
2021-02-27	0.00526315789473684	CNWL	190	1	7day_incidence	0.00450865725018128
2021-02-27	0	RFH	41	0	7day_incidence	0.019047619047619
2021-02-26	0	UCLH	727	0	7day_incidence	0.00292486973381918
2021-02-26	0.0079155672823219	RMH	379	3	7day_incidence	0.00501040106320359
2021-02-26	0	LNWUH	29	0	7day_incidence	0.0266193433895297
2021-02-26	0.00426439232409382	CNWL	469	2	7day_incidence	0.00468963325504105
2021-02-26	0	RFH	48	0	7day_incidence	0.0198979591836735
2021-02-25	0.00656455142231947	UCLH	914	6	7day_incidence	0.00173439354334299
2021-02-25	0	RMH	375	0	7day_incidence	0.00731454852864138
2021-02-25	0	LNWUH	40	0	7day_incidence	0.0918367346938776
2021-02-25	0.0087719298245614	CNWL	342	3	7day_incidence	0.00839207116800528
2021-02-25	0	RFH	53	0	7day_incidence	0.0130952380952381
2021-02-25	0	CARE HOME	51	0	7day_incidence	0
2021-02-24	0.00296296296296296	UCLH	675	2	7day_incidence	0.00477390722115454
2021-02-24	0.00659340659340659	RMH	455	3	7day_incidence	0.011922843459517
2021-02-24	0.142857142857143	LNWUH	7	1	7day_incidence	0.0918367346938776
2021-02-24	0.00646551724137931	CNWL	464	3	7day_incidence	0.00839207116800528
2021-02-24	0	RFH	52	0	7day_incidence	0.00595238095238095
2021-02-23	0.00261324041811847	UCLH	1148	3	7day_incidence	0.00499334983691052
2021-02-23	0.00917431192660551	RMH	436	4	7day_incidence	0.0116861060962645
2021-02-23	0	LNWUH	19	0	7day_incidence	0.107709750566893
2021-02-23	0.00367647058823529	CNWL	272	1	7day_incidence	0.00993508532991608
2021-02-23	0.0416666666666667	RFH	24	1	7day_incidence	0.0105606758832565
2021-02-23	0	CARE HOME	62	0	7day_incidence	0
2021-02-22	0	UCLH	274	0	7day_incidence	0.00686212060103012
2021-02-22	0.0161290322580645	RMH	62	1	7day_incidence	0.0116348357792145
2021-02-22	0.5	LNWUH	8	4	7day_incidence	0.107709750566893
2021-02-22	0.0303030303030303	CNWL	66	2	7day_incidence	0.00997376462537272
2021-02-22	0	RFH	4	0	7day_incidence	0.0134761277783003
2021-02-21	0.0212765957446809	UCLH	141	3	7day_incidence	0.00624108395501615
2021-02-21	0.032258064516129	RMH	62	2	7day_incidence	0.0129575871019658
2021-02-21	0	LNWUH	10	0	7day_incidence	0.107709750566893
2021-02-21	0	CNWL	24	0	7day_incidence	0.010858145152751
2021-02-21	0	RFH	12	0	7day_incidence	0.0153314153478735
2021-02-20	0.00153609831029186	UCLH	651	1	7day_incidence	0.00608887970414018
2021-02-20	0.0097323600973236	RMH	411	4	7day_incidence	0.0126381430850428
2021-02-20	0.111111111111111	LNWUH	9	1	7day_incidence	0.108207510646535
2021-02-20	0.0160642570281124	CNWL	249	4	7day_incidence	0.0105958754939296
2021-02-20	0.032258064516129	RFH	31	1	7day_incidence	0.0153314153478735
2021-02-19	0.0130813953488372	UCLH	688	9	7day_incidence	0.00587808199123166
2021-02-19	0.00755667506297229	RMH	397	3	7day_incidence	0.0126203519177643
2021-02-19	0	LNWUH	16	0	7day_incidence	0.122493224932249
2021-02-19	0.00453514739229025	CNWL	441	2	7day_incidence	0.0107641466859016
2021-02-19	0.0204081632653061	RFH	49	1	7day_incidence	0.0252520502685085
2021-02-18	0.00221729490022173	UCLH	902	2	7day_incidence	0.00705225028868762
2021-02-18	0.00925925925925926	RMH	432	4	7day_incidence	0.0103162044523265
2021-02-18	0	LNWUH	14	0	7day_incidence	0.146302748741773
2021-02-18	0.0149625935162095	CNWL	401	6	7day_incidence	0.013460903481019
2021-02-18	0.012987012987013	RFH	77	1	7day_incidence	0.0252520502685085
2021-02-18	0	CARE HOME	48	0	7day_incidence	0
2021-02-17	0.00189753320683112	UCLH	1054	2	7day_incidence	0.00401273661087607
2021-02-17	0.00435729847494553	RMH	459	2	7day_incidence	0.00570790952145097
2021-02-17	0.146341463414634	LNWUH	41	6	7day_incidence	0.152255129694154
2021-02-17	0.00462962962962963	CNWL	432	2	7day_incidence	0.013460903481019
2021-02-17	0	RFH	45	0	7day_incidence	0.0252520502685085
2021-02-17	0	CARE HOME	91	0	7day_incidence	0
2021-02-16	0.00113765642775882	UCLH	879	1	7day_incidence	0.00417783542945964
2021-02-16	0.00904977375565611	RMH	442	4	7day_incidence	0.0059155269827793
2021-02-16	0.1	LNWUH	10	1	7day_incidence	0.136382113821138
2021-02-16	0.00485436893203883	CNWL	206	1	7day_incidence	0.0119279143817649
2021-02-16	0.111111111111111	RFH	36	4	7day_incidence	0.0206437553376329
2021-02-16	0	CARE HOME	61	0	7day_incidence	0
2021-02-15	0.00821917808219178	UCLH	365	3	7day_incidence	0.00280769343622012
2021-02-15	0	RMH	69	0	7day_incidence	0.00755421399432086
2021-02-15	0.0491803278688525	CNWL	61	3	7day_incidence	0.0112800361828662
2021-02-15	0	RFH	1	0	7day_incidence	0.0177283034425892
2021-02-14	0	UCLH	104	0	7day_incidence	0.00330170400747108
2021-02-14	0	RMH	64	0	7day_incidence	0.00722352616363303
2021-02-14	0.666666666666667	LNWUH	3	2	7day_incidence	0.142875620314645
2021-02-14	0	CNWL	2	0	7day_incidence	0.0101533044945668
2021-02-14	0	RFH	13	0	7day_incidence	0.0181771633384537
2021-02-13	0.00269179004037685	UCLH	743	2	7day_incidence	0.00392768995661855
2021-02-13	0.0111856823266219	RMH	447	5	7day_incidence	0.00922496165846589
2021-02-13	0.0416666666666667	LNWUH	24	1	7day_incidence	0.149901381438766
2021-02-13	0.00533333333333333	CNWL	375	2	7day_incidence	0.00981660415786645
2021-02-13	0	RFH	56	0	7day_incidence	0.0181771633384537
2021-02-12	0.00349040139616056	UCLH	1146	4	7day_incidence	0.00446090044838585
2021-02-12	0.0190274841437632	RMH	473	9	7day_incidence	0.0079321368362293
2021-02-12	0	LNWUH	51	0	7day_incidence	0.154505662175451
2021-02-12	0	CNWL	440	0	7day_incidence	0.0133248035541298
2021-02-12	0	RFH	103	0	7day_incidence	0.00910686855387316
2021-02-12	0	CARE HOME	28	0	7day_incidence	0
2021-02-11	0.00567536889897843	UCLH	881	5	7day_incidence	0.00698769440111492
2021-02-11	0.00694444444444444	RMH	576	4	7day_incidence	0.010679389583482
2021-02-11	0.0454545454545455	LNWUH	22	1	7day_incidence	0.175934233604023
2021-02-11	0.00707547169811321	CNWL	424	3	7day_incidence	0.00629904243000802
2021-02-11	0.0161290322580645	RFH	62	1	7day_incidence	0.0156003750473797
2021-02-11	0	CARE HOME	20	0	7day_incidence	0
2021-02-10	0.00627943485086342	UCLH	1274	8	7day_incidence	0.00958509699851752
2021-02-10	0.0183673469387755	RMH	490	9	7day_incidence	0.0153889657216296
2021-02-10	0.0491803278688525	LNWUH	61	3	7day_incidence	0.0806961383659276
2021-02-10	0.00227272727272727	CNWL	440	1	7day_incidence	0.0071271997799045
2021-02-10	0	RFH	43	0	7day_incidence	0.0156003750473797
2021-02-10	0	CARE HOME	58	0	7day_incidence	0.00216450216450216
2021-02-09	0.00487012987012987	UCLH	616	3	7day_incidence	0.0105233068869293
2021-02-09	0	RMH	274	0	7day_incidence	0.0155856988278767
2021-02-09	0.178571428571429	LNWUH	28	5	7day_incidence	0.0849478390461997
2021-02-09	0.0294117647058824	CNWL	238	7	7day_incidence	0.00753625520535337
2021-02-09	0.0476190476190476	RFH	42	2	7day_incidence	0.0196820077004409
2021-02-09	0	CARE HOME	5	0	7day_incidence	0.00216450216450216
2021-02-08	0.0259067357512953	UCLH	193	5	7day_incidence	0.0108852633139838
2021-02-08	0.0192307692307692	RMH	52	1	7day_incidence	0.0147471860554594
2021-02-08	0.25	LNWUH	8	2	7day_incidence	0.103581379418871
2021-02-08	0	CNWL	52	0	7day_incidence	0.00941949437672814
2021-02-08	0.0454545454545455	RFH	22	1	7day_incidence	0.0223774254901983
2021-02-07	0.0181818181818182	UCLH	110	2	7day_incidence	0.0117861487313121
2021-02-07	0.032967032967033	RMH	91	3	7day_incidence	0.014440288716188
2021-02-07	0	LNWUH	10	0	7day_incidence	0.106940089674132
2021-02-07	0	RFH	10	0	7day_incidence	0.0260256589771415
2021-02-06	0.00925925925925926	UCLH	864	8	7day_incidence	0.0121286279794534
2021-02-06	0.0125628140703518	RMH	398	5	7day_incidence	0.0136095679042529
2021-02-06	0.0714285714285714	LNWUH	28	2	7day_incidence	0.119914328550011
2021-02-06	0.00579710144927536	CNWL	345	2	7day_incidence	0.00946300896281739
2021-02-06	0.0285714285714286	RFH	35	1	7day_incidence	0.0287210767668989
2021-02-05	0.00602409638554217	UCLH	830	5	7day_incidence	0.0129700953868155
2021-02-05	0.0131578947368421	RMH	532	7	7day_incidence	0.0154717652971766
2021-02-05	0.130434782608696	LNWUH	23	3	7day_incidence	0.111410927189467
2021-02-05	0.00819672131147541	CNWL	488	4	7day_incidence	0.0120939986627726
2021-02-05	0.0188679245283019	RFH	53	1	7day_incidence	0.0551409470405897
